"SUID","AverageShortestPathLength","BetweennessCentrality","biogrid.ALIASES","biogrid.BIOGRID_ID","biogrid.ENTREZ_GENE","biogrid.OFFICIAL_SYMBOL","biogrid.ORGANISM_ID","biogrid.SYSTEMATIC_NAME","canonicalName","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ID","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"116","3.89790997","3.0671E-4","RABIN3","125566","117177","RAB3IP","9606",,"RAB3IP","0.25654774","0.0","2","6","117177","false","RAB3IP","82.5","2","0","0","0.67801","false","0","RAB3IP","50554","0.5224359"
"117","4.12178457","0.0","","121589","57530","CGN","9606","RP11-74C1.3","CGN","0.24261336","1.0","2","6","57530","false","CGN","80.5","2","0","0","0.65313505","false","0","CGN","0","0.68803419"
"118","4.12178457","0.0","C9orf55|C9orf55B|bA513M16.3","120799","55667","DENND4C","9606","RP11-513M16.1","DENND4C","0.24261336","1.0","2","6","55667","false","DENND4C","80.5","2","0","0","0.65313505","false","0","DENND4C","0","0.68803419"
"119","5.28014469","0.0","HOM-TES-103|IFFO","117407","25900","IFFO1","9606",,"IFFO1","0.18938875","0.0","1","8","25900","false","IFFO1","8.0","1","0","0","0.52442837","false","0","IFFO1","0","0.0"
"120","5.28014469","0.0","JEAP","127559","154810","AMOTL1","9606",,"AMOTL1","0.18938875","0.0","1","8","154810","false","AMOTL1","8.0","1","0","0","0.52442837","false","0","AMOTL1","0","0.0"
"121","4.12178457","0.0","","112156","6242","RTKN","9606",,"RTKN","0.24261336","1.0","2","6","6242","false","RTKN","80.5","2","0","0","0.65313505","false","0","RTKN","0","0.68803419"
"122","4.12178457","0.0","","116670","23031","MAST3","9606",,"MAST3","0.24261336","1.0","2","6","23031","false","MAST3","80.5","2","0","0","0.65313505","false","0","MAST3","0","0.68803419"
"123","4.12178457","0.0","JC310|MIP1|SIN1|SIN1b|SIN1g","122551","79109","MAPKAP1","9606","RP11-269P11.1","MAPKAP1","0.24261336","1.0","2","6","79109","false","MAPKAP1","80.5","2","0","0","0.65313505","false","0","MAPKAP1","0","0.68803419"
"124","4.12178457","0.0","ARHCL1|NERPP-2C|URCC2","121530","57460","PPM1H","9606",,"PPM1H","0.24261336","1.0","2","6","57460","false","PPM1H","80.5","2","0","0","0.65313505","false","0","PPM1H","0","0.68803419"
"125","4.22909968","0.0","MG81|OATL1","110997","4943","TBC1D25","9606",,"TBC1D25","0.23645695","0.0","1","7","4943","false","TBC1D25","89.0","1","0","0","0.64121115","false","0","TBC1D25","0","0.0"
"126","4.22909968","0.0","C20orf55|F10|bA371L19.3","123674","83541","FAM110A","9606",,"FAM110A","0.23645695","0.0","1","7","83541","false","FAM110A","89.0","1","0","0","0.64121115","false","0","FAM110A","0","0.0"
"127","4.12178457","0.0","C5orf6","119458","51307","FAM53C","9606",,"FAM53C","0.24261336","1.0","2","6","51307","false","FAM53C","80.5","2","0","0","0.65313505","false","0","FAM53C","0","0.68803419"
"128","4.12178457","0.0","ANKRD34","129917","284615","ANKRD34A","9606",,"ANKRD34A","0.24261336","1.0","2","6","284615","false","ANKRD34A","80.5","2","0","0","0.65313505","false","0","ANKRD34A","0","0.68803419"
"129","4.12178457","0.0","C8orf72","124703","90362","FAM110B","9606",,"FAM110B","0.24261336","1.0","2","6","90362","false","FAM110B","80.5","2","0","0","0.65313505","false","0","FAM110B","0","0.68803419"
"130","4.12178457","0.0","","107429","994","CDC25B","9606","RP5-1009E24.3","CDC25B","0.24261336","1.0","2","6","994","false","CDC25B","80.5","2","0","0","0.65313505","false","0","CDC25B","0","0.68803419"
"131","4.12178457","0.0","AGAP-1|CENTG2|GGAP1|cnt-g2","125550","116987","AGAP1","9606",,"AGAP1","0.24261336","1.0","2","6","116987","false","AGAP1","80.5","2","0","0","0.65313505","false","0","AGAP1","0","0.68803419"
"132","4.12178457","0.0","7h3","124489","85360","SYDE1","9606",,"SYDE1","0.24261336","1.0","2","6","85360","false","SYDE1","80.5","2","0","0","0.65313505","false","0","SYDE1","0","0.68803419"
